company_number,company_name,address_line_1,address_line_2,locality,postal_code,country,accounts_type,last_accounts_made_up_to,next_accounts_due,has_recent_accounts,accounts_overdue,sic_codes_ch,is_group_like,date_of_creation,age_years,primary_sic,sector,esos_score
08065601,ADVANCED METALCRAFT LIMITED,"Units 14/15 Francis Way Francis Way, Bowthorpe Employment Area",,Norwich,NR5 9JA,England,total-exemption-full,2025-05-31,2027-02-28,True,False,25110,False,2012-05-11,13.648186173853524,25110,Industrial,5
11766390,WRS GROUP LTD,9 Cockleton Lane,Gurnard,Cowes,PO31 8JE,England,micro-entity,2025-01-31,2026-10-31,True,False,81100;81300,True,2019-01-14,6.97056810403833,81100,Buildings,5
10938999,TREW HOLDINGS LTD,4 Low Moor Road,,Lincoln,LN6 3JY,United Kingdom,,,2019-05-30,False,True,68100,True,2017-08-30,8.344969199178644,68100,Buildings,4
11055610,DIRECT TO SOURCE LTD,Hollymount Barn,Glewstone,Ross-On-Wye,HR9 6AN,United Kingdom,total-exemption-full,2024-11-30,2026-08-31,True,False,46180,False,2017-11-09,8.150581793292266,46180,Other,4
11804301,HHS ELECTRICAL LIMITED,102 Newthorpe Common,Newthorpe,Nottingham,NG16 2EH,England,total-exemption-full,2025-03-31,2026-12-31,True,False,43210,False,2019-02-04,6.913073237508556,43210,Buildings,4
00840500,TUNLEY PROPERTIES LIMITED,40 Fleet Street,,Swindon,SN1 1RE,England,total-exemption-full,2021-03-31,2022-12-31,True,True,68100;68209,False,1965-03-10,60.818617385352496,68100,Buildings,3
03872416,MEDIA INSURANCE BROKERS INTERNATIONAL LIMITED,One,Creechurch Place,London,EC3A 5AF,United Kingdom,small,2024-09-30,2026-09-30,True,False,65110;65201,False,1999-11-05,26.16290212183436,65110,Other,3
08955629,RENFUL SYSTEMS LIMITED,5 North End Road,,London,NW11 7RJ,,total-exemption-full,2024-12-31,2026-10-07,True,False,99999,False,2014-03-24,11.780971937029431,99999,Other,3
SC203352,DEBI GLIORI LIMITED,17 Letham Mains Holdings,Haddington,East Lothian,EH41 4NW,,total-exemption-full,2025-01-31,2026-10-31,True,False,90030,False,2000-01-27,25.935660506502394,90030,Other,3
00700529,WINEMAKERS CHOICE LIMITED,Sabmiller House,Church Street West,Woking,GU21 6HS,United Kingdom,total-exemption-full,2012-03-31,2013-12-31,True,True,99999,False,1961-08-10,64.39972621492129,99999,Other,2
12326630,CONTINENTAL BUSINESS AND SERVICES LTD,30 Lonsdale Road,,Nottingham,NG7 3DU,England,total-exemption-full,2020-11-30,2022-08-31,True,True,81299,False,2019-11-21,6.119096509240246,81299,Buildings,2
12387679,TOP SHEET CLADDING LIMITED,Equitable House 55,Pellon Lane,Halifax,HX1 5SP,United Kingdom,total-exemption-full,2022-01-31,2024-01-31,True,True,43330;43390,False,2020-01-06,5.993155373032169,43330,Buildings,2
NI620386,BRANNOCK TRADING LIMITED,6 Brannock Meadows,Poyntzpass,Newry,BT35 6UD,Northern Ireland,unaudited-abridged,2019-09-30,2021-06-30,True,True,43120;46900;77320,False,2013-09-12,12.309377138945928,43120,Buildings,2
SC490891,OBAN FISH COMPANY LTD,Smoke House,Kilmore,Oban,PA34 4XT,,total-exemption-full,2019-11-30,2021-08-31,True,True,10200,False,2014-11-10,11.148528405201917,10200,Industrial,2
SC593054,PEPPERSTAWN LTD,268 Birkhall Parade,,Aberdeen,AB16 5RA,Scotland,full,2021-04-30,2023-01-31,True,True,84120;87200,False,2018-04-03,7.753593429158111,84120,Other,2
11317160,DENDROBIUM ADVANCED TECHNOLOGIES LIMITED,2 Toomers Wharf,Canal Walk,Newbury,RG14 1DY,England,total-exemption-full,2021-04-30,2023-04-30,True,True,96090,False,2018-04-18,7.712525667351129,96090,Other,1
11759722,JURBAN LTD,46 Morris Road,Ribbleton,Preston,PR2 6BQ,United Kingdom,total-exemption-full,2023-01-31,2024-10-31,True,True,47791;47799;95110;96020,False,2019-01-10,6.981519507186858,47791,Other,1
12042485,RP CONTRACTING LIMITED,5 Moelyn Mews,,Harrow,HA1 2RD,United Kingdom,total-exemption-full,2022-06-30,2024-03-31,True,True,66290,False,2019-06-10,6.568104038329911,66290,Other,1
12457116,MEAH LOGISTICS LTD,39 Moorton Avenue,,Manchester,M19 0NQ,England,,,2021-11-12,False,True,49390,False,2020-02-12,5.891854893908282,49390,Transport,1
SC607047,EM FOOD DISTRIBUTION LTD,154 Reid Street,,Glasgow,G40 4EN,Scotland,total-exemption-full,2020-09-30,2022-06-30,True,True,56290,False,2018-09-03,7.3347022587268995,56290,Other,1
SC632180,KYLE 1 ENTERPRISE LTD,42 Nithsdale Road,,Glasgow,G41 2AN,Scotland,,,2021-05-31,False,True,42990,False,2019-05-31,6.595482546201232,42990,Buildings,1
12356357,PRIMA NURSERY LTD,White City Community Centre,India Way,London,W12 7QT,England,,,2021-09-10,False,True,88910,False,2019-12-10,6.067077344284736,88910,Other,0
