company_number,company_name,address_line_1,address_line_2,locality,postal_code,country,sector,accounts_type,esos_score
08065601,ADVANCED METALCRAFT LIMITED,"Units 14/15 Francis Way Francis Way, Bowthorpe Employment Area",,Norwich,NR5 9JA,England,Industrial,total-exemption-full,5
11766390,WRS GROUP LTD,9 Cockleton Lane,Gurnard,Cowes,PO31 8JE,England,Buildings,micro-entity,5
10938999,TREW HOLDINGS LTD,4 Low Moor Road,,Lincoln,LN6 3JY,United Kingdom,Buildings,,4
11055610,DIRECT TO SOURCE LTD,Hollymount Barn,Glewstone,Ross-On-Wye,HR9 6AN,United Kingdom,Other,total-exemption-full,4
11804301,HHS ELECTRICAL LIMITED,102 Newthorpe Common,Newthorpe,Nottingham,NG16 2EH,England,Buildings,total-exemption-full,4
00840500,TUNLEY PROPERTIES LIMITED,40 Fleet Street,,Swindon,SN1 1RE,England,Buildings,total-exemption-full,3
03872416,MEDIA INSURANCE BROKERS INTERNATIONAL LIMITED,One,Creechurch Place,London,EC3A 5AF,United Kingdom,Other,small,3
08955629,RENFUL SYSTEMS LIMITED,5 North End Road,,London,NW11 7RJ,,Other,total-exemption-full,3
SC203352,DEBI GLIORI LIMITED,17 Letham Mains Holdings,Haddington,East Lothian,EH41 4NW,,Other,total-exemption-full,3
00700529,WINEMAKERS CHOICE LIMITED,Sabmiller House,Church Street West,Woking,GU21 6HS,United Kingdom,Other,total-exemption-full,2
12326630,CONTINENTAL BUSINESS AND SERVICES LTD,30 Lonsdale Road,,Nottingham,NG7 3DU,England,Buildings,total-exemption-full,2
12387679,TOP SHEET CLADDING LIMITED,Equitable House 55,Pellon Lane,Halifax,HX1 5SP,United Kingdom,Buildings,total-exemption-full,2
NI620386,BRANNOCK TRADING LIMITED,6 Brannock Meadows,Poyntzpass,Newry,BT35 6UD,Northern Ireland,Buildings,unaudited-abridged,2
SC490891,OBAN FISH COMPANY LTD,Smoke House,Kilmore,Oban,PA34 4XT,,Industrial,total-exemption-full,2
SC593054,PEPPERSTAWN LTD,268 Birkhall Parade,,Aberdeen,AB16 5RA,Scotland,Other,full,2
