company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route
09252994,I DIRECT INDEPENDENT LIVING LIMITED,281,,277127.0,31 October,EMPLOYEE_TEST
12922542,HERITAGE IMPORTS LTD,355,,1598012.0,31 October,EMPLOYEE_TEST
12548732,Keltbray Built Environment Limited,601,363984640.0,2894882.0,31 October,EMPLOYEE_TEST
04054659,SEASONED VENUES LTD,327,,216822.0,31 July 20,EMPLOYEE_TEST
12317993,MISTAHOU FINANCIAL GROUP LTD,1620,,4983579.0,30 October,EMPLOYEE_TEST
SO307055,Lindsays LLP,313,,,2025-03-31,EMPLOYEE_TEST
12817556,LTIMindtree UK Limited,563,102222886.0,42346472.0,2025-03-31,EMPLOYEE_TEST
01336850,CAPITA CUSTOMER MANAGEMENT LIMITED,4275,,134719609.0,2024-12-31,EMPLOYEE_TEST
09914944,Right to Dream Limited,207,58289078.0,55620404.0,2024-12-31,FINANCIAL_TEST
04584055,MILEWOOD HEALTHCARE LTD,300,16287515.0,2587553.0,2024-12-31,EMPLOYEE_TEST
12651100,FORBES DIGITAL MARKETING LIMITED (PREVIOUSLY MARKETPLACE PLATFORMS LIMITED),102,69201882.0,247069222.0,2024-12-31,FINANCIAL_TEST
07328455,ARL SERVICES (UK) LIMITED,350,,4766775.0,2024-12-31,EMPLOYEE_TEST
05636648,ZIEGLER UK LIMITED,302,,7548429.0,2024-12-31,EMPLOYEE_TEST
07634731,WESTMINSTER BRIDGE HOTEL OPERATOR LIMITED,403,,148228000.0,2024-12-31,EMPLOYEE_TEST
04974811,RIVERBANK HOTEL OPERATOR LIMITED,365,,104062000.0,2024-12-31,EMPLOYEE_TEST
01030722,L. BENNETT & SON LIMITED,367,52710190.0,5636354.0,2024-12-31,EMPLOYEE_TEST
07783991,GREENZEST LIMITED,313,,239441.0,2024-12-31,EMPLOYEE_TEST
07419599,RINA TECH UK LIMITED,263,29811000.0,2706000.0,2024-12-31,EMPLOYEE_TEST
01243938,MOVIANTO UK LIMITED,1374,207114000.0,44799000.0,2024-12-31,EMPLOYEE_TEST
02424853,CAPITA LIFE & PENSIONS REGULATED SERVICES LIMITED,1781,,431142222.0,2024-12-31,EMPLOYEE_TEST
02935370,GAINFORD CARE HOMES LIMITED,674,,128909441.0,2024-12-31,EMPLOYEE_TEST
SC088127,BROXBURN BOTTLERS LIMITED,293,,10038005.0,2024-12-31,EMPLOYEE_TEST
03191608,WESTERN MORTGAGE SERVICES LIMITED,772,,96337000.0,2024-12-31,EMPLOYEE_TEST
07988275,GAINFORD HOTELS LIMITED,479,,65019763.0,2024-12-31,EMPLOYEE_TEST
13497834,CAPITA SHARED SERVICES LIMITED,2209,,105801000.0,2024-12-31,EMPLOYEE_TEST
