company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name,company_status,jurisdiction,registered_address,sic_codes
02505735,Reuters News & Media Limited,1009000,236570000.0,200635000.0,2024-12-31,EMPLOYEE_TEST,,,active,england-wales,"Five Canada Square, Canary Wharf, London, E14 5AQ",63910
12476350,PWC Newco Limited,697000,28246000.0,45561000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"12-18 Grosvenor Gardens, 5th Floor, London, SW1W 0DH",64209
12405444,PWC Holdco 1 Limited,697000,28246000.0,45561000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"12-18 Grosvenor Gardens, 5th Floor, London, SW1W 0DH",64209
11768204,Bishopsgate Employment Services Limited,622000,51786000.0,607000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"The Dock, Station Road, Kings Langley, WD4 8LZ",43999;82990
02911969,Hurst Group (Northern) Limited,270000,,4388000.0,,EMPLOYEE_TEST,,,active,england-wales,"Aynsley House, Common Road, Low Moor, Bradford, BD12 0UF",32990
07081393,Trinity Care at Home Ltd,259000,,1490000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"1 - 15 Central Road, Worcester Park, KT4 8EG",88100
09496256,R L MORRIS LIMITED,210449,,283996.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"32 High Road, South Woodford,, London,, E18 2QL",68320
03034235,Hurst Plastics Limited,165000,29077000.0,5659000.0,,EMPLOYEE_TEST,,,active,england-wales,"Aynsley House, Common Road, Low Moor, Bradford, BD12 0UF",32990
NI640534,MOFFETT LIVESTOCK LIMITED,164150,,263767.0,31 Decembe,EMPLOYEE_TEST,,,active,northern-ireland,"2 Woodvale, Loughbrickland, Banbridge, BT32 3RT",49410
06512050,Birchwood Motor Group Limited,160000,100357000.0,1460000.0,31 Decembe,EMPLOYEE_TEST,,,active,england-wales,"Birchwood Garage, Lottbridge Drove, Eastbourne, BN23 6PX",45111;45200
00533277,McBraida Plc,152000,31789000.0,21717000.0,2025-06-30,EMPLOYEE_TEST,,,active,england-wales,"Bridgeyate Engineering Works, Warmley, Bristol, BS30 5JW",25620;30300
08781493,Berkeley Home Health Limited,124000,3722000.0,13938000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Trinity Homecare Group, 1-15 Central Road, Worcester Park, KT4 8EG",88100
03573047,Corinium Care Limited,106000,4584000.0,77000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Trinity Homecare Group, 1-15 Central Road, Worcester Park, KT4 8EG",86900
09243163,ARG FENCING LTD,93024,,197.0,31 October,EMPLOYEE_TEST,,,active,england-wales,"3a Headley Road, Woodley, Reading, RG5 4JB",43999
12477148,PURDY & FIGG LTD,70000,39304000.0,1285000.0,,EMPLOYEE_TEST,,,active,england-wales,"9 Heron Business Park Eastman Way, Hemel Hempstead Industrial Estate, Hemel Hempstead, HP2 7FW",20412;47910;62012
