company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name
12018020,GLANSO UK LIMITED,500,,2839359.0,31/03/2025,EMPLOYEE_TEST,,
03841043,SPLENDID.CO.UK LIMITED,910,,-44978.0,31/03/2025,EMPLOYEE_TEST,,
09243163,ARG FENCING LTD,93024,,197.0,31 October,EMPLOYEE_TEST,,
10365213,SAKINAS HEALTHCARE LIMITED,287,,71299.0,31 March 2,EMPLOYEE_TEST,,
11138134,Lord's Care Recruit Limited,294,,218139.0,31 March 2,EMPLOYEE_TEST,,
11061429,Gov Facility Services Limited,1680,189407000.0,40161000.0,31 March 2,EMPLOYEE_TEST,,
14730498,LMRK PROPERTIES LTD,350,,350.0,31 March 2,EMPLOYEE_TEST,,
09298295,AIM HOUSE INVESTMENTS LIMITED & SUBSIDIARY,860,16293099.0,3975018.0,31 March 2,EMPLOYEE_TEST,,
09496256,R L MORRIS LIMITED,210449,,283996.0,31 March 2,EMPLOYEE_TEST,,
09426027,Accept Recruitment Ltd,408,11681989.0,126344.0,31 March 2,EMPLOYEE_TEST,,
08721041,Country Village Inns Ltd,354,,472143.0,31 March 2,EMPLOYEE_TEST,,
08965397,The Care And Support Group Ltd,386,,250424.0,31 March 2,EMPLOYEE_TEST,,
08924556,Premium Care Solutions Limited,320,,69096.0,31 March 2,EMPLOYEE_TEST,,
13236458,Premier Recruitment Group Limited,263,,13131.0,31 March 2,EMPLOYEE_TEST,,
13236522,MORTLAKE HOLDINGS LIMITED,1559,41765855.0,1139454.0,31 March 2,EMPLOYEE_TEST,,
12521437,A E Stuart Limited,282,101847115.0,99940055.0,31 March 2,EMPLOYEE_TEST,,
13290876,CENTURION CONSULTANTS LIMITED,2890,,2890.0,31 March 2,EMPLOYEE_TEST,,
13722151,Premium Care Group Limited,432,21269259.0,17207262.0,31 March 2,EMPLOYEE_TEST,,
13860981,T4C Ltd,265,,-3495.0,31 March 2,EMPLOYEE_TEST,,
11158928,Acorns (Holdings) Limited,432,14668180.0,8662861.0,31 March 2,EMPLOYEE_TEST,,
12405164,PWC Topco Limited,2000,,24194000.0,31 March 2,EMPLOYEE_TEST,,
12405240,PWC Midco Limited,2000,,32275000.0,31 March 2,EMPLOYEE_TEST,,
NI043594,Scotts Bakery Limited,261,39889620.0,7690339.0,31 March 2,EMPLOYEE_TEST,,
NI051219,Dowds Electrical (Holdings) Limited,262,65329771.0,4763224.0,31 March 2,EMPLOYEE_TEST,,
05302971,CARE OUTLOOK LTD,1559,41765855.0,308313.0,31 March 2,EMPLOYEE_TEST,,
NI038310,Eventsec Ltd,1392,,717224.0,31 March 2,EMPLOYEE_TEST,,
05044268,FC Summerhill NH Ltd,322,12504280.0,11283035.0,31 March 2,EMPLOYEE_TEST,,
05490377,Ganymede Care Limited,263,14195010.0,19571110.0,31 March 2,EMPLOYEE_TEST,,
04646947,ALBANY CLEANING SOLUTIONS LTD,256,,68164.0,31 March 2,EMPLOYEE_TEST,,
NI615459,ADVANCED CARE (NI) LTD,284,,1207918.0,31 March 2,EMPLOYEE_TEST,,
15740044,EDGEHILL LEICESTER LTD,3324,,250365.0,31 March 2,EMPLOYEE_TEST,,
06521256,Office Space in Town Limited,259,26102176.0,165647358.0,31 March 2,EMPLOYEE_TEST,,
06868508,Cleanscapes Limited,420,16416766.0,638360.0,31 March 2,EMPLOYEE_TEST,,
06323326,CAREPOINT SERVICES LIMITED,440,,540297.0,31 March 2,EMPLOYEE_TEST,,
06131771,BROOMFIELD BOOKS LIMITED,9173,,13379.0,31 March 2,EMPLOYEE_TEST,,
06194579,ECMS Services Ltd,256,13999617.0,181371.0,31 March 2,EMPLOYEE_TEST,,
02021497,50 FASSETT ROAD RESIDENTS ASSOCIATION LIMITED,2607,,2468.0,31 March 2,EMPLOYEE_TEST,,
00056685,Exmouth Marina Ltd,7000,,6459000.0,31 March 2,EMPLOYEE_TEST,,
01967787,IT Luggage Limited,303,146067426.0,8405441.0,31 March 2,EMPLOYEE_TEST,,
01837621,HEALTH LIMITED,314,9988307.0,6614907.0,31 March 2,EMPLOYEE_TEST,,
01427132,AIM COMMERCIAL CLEANING LIMITED,860,16293099.0,3452216.0,31 March 2,EMPLOYEE_TEST,,
SC700503,SGD Management Limited,285,,3425.0,31 March 2,EMPLOYEE_TEST,,
04120661,Moorview Care Limited,345,,2335878.0,31 March 2,EMPLOYEE_TEST,,
04117031,Lindel Services Limited,260,,797938.0,31 March 2,EMPLOYEE_TEST,,
04400659,Select Support Partnerships Ltd,259,,69231.0,31 March 2,EMPLOYEE_TEST,,
OC306572,Ingleton Wood LLP,274,,940879.0,31 March 2,EMPLOYEE_TEST,,
03023352,Acorns Nurseries Limited,432,14668180.0,6540556.0,31 March 2,EMPLOYEE_TEST,,
07886297,Michels and Taylor (London) Limited,462,28991329.0,2276921.0,31 March 2,EMPLOYEE_TEST,,
07565839,K G GROUNDWORKS LIMITED,1187,,7443.0,31 March 2,EMPLOYEE_TEST,,
08387342,FLORIAN FIRE SERVICES LIMITED,17082,,3470.0,31 March 2,EMPLOYEE_TEST,,
07108341,Go Languages World Wide Limited,305,,2578.0,31 March 2,EMPLOYEE_TEST,,
03795153,MSG Contracts Limited,273,,101917.0,31 July 20,EMPLOYEE_TEST,,
08817509,GR8CONNECT LTD,285,,4000.0,31 Decembe,EMPLOYEE_TEST,,
NI640534,MOFFETT LIVESTOCK LIMITED,164150,,263767.0,31 Decembe,EMPLOYEE_TEST,,
13771306,ETHOS FARM HOLDINGS LIMITED,757,30252841.0,466414.0,31 Decembe,EMPLOYEE_TEST,,
