company_number,company_name,employees,turnover,balance_sheet,accounts_date
00312679,EXORS. OF JOHN WARD LIMITED,1.0,,70834.0,5 April 20
00362308,J.H. Wood & Son Limited,2.0,,17237.0,5 April 20
00233565,HECTOR'S HOUSING LIMITED,2.0,,41962.0,5 April 20
00196655,"NORTH LONDON BOWLING CLUB,LIMITED(THE)",0.0,,2870.0,5 April 20
00231595,PENHALE ESTATES LIMITED,2.0,,1468491.0,31/12/2024
00349299,CLIMPSON & CO.LIMITED,3.0,,52093.0,31/12/2024
00193718,DEN NORSKE KLUB LIMITED,,,4215.0,31/12/2024
00368860,A.W.SQUIER LIMITED,6.0,,6078532.0,31/12/2024
00372938,THE DRAKE MEMORIAL PARK LIMITED,9.0,,169447.0,31/03/2025
00395263,NOAHSWORTH LIMITED,5.0,,1809160.0,31/03/2025
00388840,W.P.WAKEFIELD LIMITED,3.0,,1332760.0,31/03/2025
00132488,KINGSTHORPE GOLF COMPANY LIMITED,5.0,,8974.0,31/03/2025
00207348,"J. CHANDLER & COMPANY, LIMITED",7.0,,1396275.0,31/03/2025
00372297,LYNTONS (HENDON) LIMITED,1.0,,411732.0,31/03/2025
00222076,BENNAH LIMITED,5.0,,1145505.0,31/03/2025
00061231,W.J. EDWARDS (KINGSWOOD) LIMITED,3.0,,1166081.0,31/03/2025
00242602,C ABBOTT LTD,21.0,,3487624.0,31/03/2025
00252941,AVA LIMITED,11.0,,421859.0,31/03/2025
00335231,LISBURNE HOLDINGS LIMITED,4.0,,480553.0,31/03/2025
00332296,CRITERION ESTATES LIMITED,4.0,,3601450.0,31/03/2025
00084905,THE PURLEY CRICKET CLUB LIMITED,3.0,,27745.0,31/03/2025
00326356,SADBOROW ESTATE LIMITED,0.0,,4750703.0,31/03/2025
00403053,ALLIED COMMERCIAL EXPORTERS LIMITED,2.0,,29550760.0,31/03/2025
00243274,Ferrell & Baker Limited,0.0,,709955.0,31 October
00343822,Charles Ashton & Co Limited,1.0,,1040464.0,31 October
00153314,MOSELEY MASONIC HALL COMPANY LIMITED,3.0,,156172.0,31 May 202
00228001,"TYBURN GARAGE,LIMITED",0.0,284.0,70000.0,31 May 202
00171830,B.S. PENSION FUND TRUSTEE LIMITED,,,60.0,31 March 2
00356613,Polden Farms Limited,2.0,,725177.0,31 March 2
00270704,Otley Cattle Market Auction Limited,,,8117.0,31 March 2
00172197,Hallmark Farming Limited,2.0,,113256.0,31 March 2
00172308,Loughborough Lawn Tennis Club,,,140882.0,31 March 2
00380679,THE PROGRESSIVE PLAYERS (GATESHEAD),0.0,,66578.0,31 March 2
00177605,Sheen Lawn Tennis and Squash Club Limited,5.0,,545024.0,31 March 2
00380622,"J.T.BARKER & SONS,LIMITED",,,1.0,31 March 2
00380433,Glenwood Trust Limited,,,526.0,31 March 2
00178568,M.HAND & COMPANY LIMITED,0.0,,629.0,31 March 2
00039161,LADY MARGARET BOWLING CLUB LIMITED,0.0,,447.0,31 March 2
00357934,Alton Estates (Plymouth) Limited,0.0,,16972.0,31 March 2
00356590,"WILLIAM MAULE & SONS,LIMITED",2.0,,156043.0,31 March 2
00380164,DUDDON BRIDGE FARM COMPANY LIMITED,0.0,,14000.0,31 March 2
00181680,"CHEAM SPORTS CLUB,LIMITED(THE)",0.0,,7205.0,31 March 2
00181897,"Monk Bridge Construction Company,Limited(The)",22.0,,2304071.0,31 March 2
00265786,L.F.Briggs (1932) Limited,10.0,,74259.0,31 March 2
00183721,St Edmunds Limited,,,18000.0,31 March 2
00183843,Dinas Powis Bowling Club Limited(The),5.0,,54388.0,31 March 2
00358572,Baltic Union Shipbrokers Limited,2.0,,2984.0,31 March 2
00358588,ENGLISH BRIDGE UNION LIMITED(THE),17.0,1441719.0,372449.0,31 March 2
00264516,H.JOHNSON & SONS (FARSLEY) LIMITED,1.0,,132194.0,31 March 2
00379899,Leggett's Farm Limited,0.0,,342017.0,31 March 2
00181085,LOVE WALK,,,0.0,31 March 2
00355601,JOHN CARR (LIVERPOOL) LIMITED,10.0,,37751.0,31 March 2
00273643,HARTLEPOOLS ESTATES LIMITED,0.0,,19469.0,31 March 2
00382907,P.J. Weller & Son (Holdings) Limited,0.0,,196178.0,31 March 2
00152407,Davenport & Sons Limited,4.0,,4029931.0,31 March 2
00385075,S.M.G. REAL ESTATES LIMITED,,,10000.0,31 March 2
00384959,TICKNER'S (CONFECTIONERS) LIMITED,2.0,,379762.0,31 March 2
00156260,"H.A.KELLAWAY,LIMITED",0.0,,68812.0,31 March 2
00158211,"Davies,Harvey & Murrell Limited",0.0,,7780.0,31 March 2
00384867,H.J. Francis Limited,2.0,,4695435.0,31 March 2
00160472,BRASS FOUNDERS (SHEFFIELD) LIMITED,,,1.0,31 March 2
00350633,British Overseas & Export Trading Limited,3.0,,6812.0,31 March 2
00283461,CORNHILL ESTATES LIMITED,0.0,,972.0,31 March 2
00352399,"William Tyler & Co.,Limited",,,1954400.0,31 March 2
00165110,"ECLIPSE MOTOR TRANSPORT COMPANY,LIMITED(THE)",15.0,,623819.0,31 March 2
00379885,C. & J. GEEVE LIMITED,0.0,,4000.0,31 March 2
00281280,LARCHES ESTATES LIMITED(THE),1.0,,-290934.0,31 March 2
00165150,Sudbury Golf Club Limited,21.0,,846143.0,31 March 2
00280729,AUTOVALE TYRES (NW) LTD,0.0,,1000.0,31 March 2
00166103,James Dinsdale Limited,1.0,,1263.0,31 March 2
00280347,LEWIS (INVESTMENTS) LIMITED,0.0,,678603.0,31 March 2
00353542,SAML. FLOCKTON LIMITED,3.0,,27179.0,31 March 2
00353791,Brockett Investment Company Limited,8.0,,1766694.0,31 March 2
00381297,MILLCO (NOMINEES) LIMITED,1.0,,4.0,31 March 2
00278308,Scale Hill Hotel Limited,4.0,,-26110.0,31 March 2
00277337,J.W. Tasker & Son Limited,37.0,,412370.0,31 March 2
00358954,THE ESTATE OFFICES LIMITED,0.0,,73161.0,31 March 2
00188059,Caleb Rayner Limited,0.0,,7150180.0,31 March 2
00359222,FRIARSGATE DEVELOPMENTS LIMITED,0.0,,2.0,31 March 2
00012886,PRESTWICH CONSERVATIVE CLUB BUILDING COMPANY LIMITED,2.0,,83462.0,31 March 2
00207662,"W.& J.FOSTER,LIMITED",3.0,,1572.0,31 March 2
00207668,KINGSWOOD LAWN TENNIS CLUB LIMITED(THE),0.0,,145.0,31 March 2
00207799,Perkins Dyers and Cleaners Limited,9.0,,1127881.0,31 March 2
00373860,JOHN SIMPSON & SONS LIMITED,3.0,,833922.0,31 March 2
00364932,M.T.D.LIMITED,3.0,,92134.0,31 March 2
00373669,THE INSTITUTION OF CERTIFIED PUBLIC ACCOUNTANTS (1942) LIMITED,0.0,,2.0,31 March 2
00240686,Calcott Estates Limited,0.0,,432.0,31 March 2
00404758,Grafton Hall Estate Limited,0.0,,104.0,31 March 2
00237621,BOGNOR FREEMASONS HALL LIMITED,0.0,,121202.0,31 March 2
00235874,Macclesfield Conservative Club Limited,0.0,,1333329.0,31 March 2
00372320,SEVERN SIDE MILLS (BEWDLEY) LIMITED,1.0,70825.0,763266.0,31 March 2
00235555,ASHTEAD SPORTS CLUB LIMITED,0.0,,2325.0,31 March 2
00215759,Saltburn Masonic Trust Limited,0.0,,56496.0,31 March 2
00234238,1 HARRISON CLOSE LIMITED,,,8.0,31 March 2
00216126,Michael Bartholomew Limited,0.0,,132718.0,31 March 2
00017877,PORTSMOUTH & SOUTH EAST HAMPSHIRE CHAMBER OF COMMERCE AND INDUSTRY,,,0.0,31 March 2
00232557,A P LEWIS & SONS LIMITED,13.0,,783924.0,31 March 2
00217506,Welwyn Garden City Golf Club Limited,41.0,,1300440.0,31 March 2
00019242,THE WEST WALES CHAMBER OF COMMERCE,,,0.0,31 March 2
00228497,Basinghall Estate Company Limited,4.0,,41113532.0,31 March 2
00218403,Badgworthy Land Company Limited,9.0,,1675929.0,31 March 2
00369221,Helsby and Longden Limited,36.0,,4822222.0,31 March 2
00223364,WARRINGTON TRAINING COLLEGE(INCORPORATED),,,0.0,31 March 2
00403775,Drake Property Services Limited,3.0,,2100000.0,31 March 2
00205625,The Harpenden Sports Ground Ltd,0.0,,17838.0,31 March 2
00385080,"BRIGGS & PARTNER, LIMITED",13.0,,1393936.0,31 March 2
00243873,BRITISH UNION FOR THE ABOLITION OF VIVISECTION,,,2.0,31 March 2
00261935,Farm Walk Limited,2.0,,35.0,31 March 2
00188644,DAVID HAIGH LIMITED,4.0,,1075597.0,31 March 2
00379524,LINSTOCK AND SCOTBY FISHERIES LIMITED,,,100.0,31 March 2
00259016,HAYTHORNTHWAITE & SONS LIMITED,0.0,,338470.0,31 March 2
00190709,Ealing Golf Club (1923) Limited,30.0,,1511114.0,31 March 2
00254878,CHILDRENS HEALTH CENTRE FOR SOUTH WEST LONDON LIMITED(THE),0.0,,629000.0,31 March 2
00379232,ERNEST G.ROGERS & SONS LIMITED,2.0,,97.0,31 March 2
00378307,SIDNEY MICHAEL LIMITED,4.0,,4191068.0,31 March 2
00254010,RHYL MASONIC BUILDINGS.LIMITED(THE),1.0,,150765.0,31 March 2
00403768,CHAINCOURT LIMITED,0.0,,256761.0,31 March 2
00197014,Benson-Sedgwick Engineering Limited,15.0,,22937.0,31 March 2
00198858,DAWSON BIRKENHEAD HOUSES LIMITED,3.0,,275213.0,31 March 2
00377178,BEECHES FARM LIMITED,3.0,,4049926.0,31 March 2
00199651,"HEATHFIELD CLUB,LIMITED(THE)",0.0,,9962.0,31 March 2
00376684,MARLBOROUGH BAKERIES (1942) LIMITED,15.0,,101892.0,31 March 2
00375987,Walker Miller & Company Limited,20.0,,1261362.0,31 March 2
00201602,Porchester Hotel Limited,,,250677.0,31 March 2
00361399,Triangle Amusements Limited,36.0,,4527222.0,31 March 2
00251151,J.T. Scott & Sons (Brondesbury) Limited,,,135024.0,31 March 2
00249712,"Parsonson Brothers, Limited",0.0,,1453271.0,31 March 2
00363069,"SMITHS,SUITALL LIMITED",1.0,,924.0,31 March 2
00374509,Fyfield Estates Limited,1.0,,390669.0,31 March 2
00246762,F J Brindley & Sons (Sheffield) Limited,10.0,,-9080.0,31 March 2
00152195,WINCHESTER CHAMBER OF COMMERCE & INDUSTRY,,,0.0,31 March 2
00404788,DAY & COLES (AGRICULTURAL) LIMITED,10.0,,1205062.0,31 March 2
00285912,"Thomas Griffiths & Son, Limited",3.0,,260904.0,31 March 2
00098737,CONDOR IRONWORKS LIMITED(THE),3.0,,545433.0,31 March 2
00396582,Hamilton Murray & Partners Limited,,,2755.0,31 March 2
00083398,MACHINERY USERS' ASSOCIATION (INCORPORATED),0.0,,1031446.0,31 March 2
00317030,Rustic Estates Limited,2.0,,276393.0,31 March 2
00316946,A.J.Hawkins Limited,0.0,,84767.0,31 March 2
00395587,L.T.K.TRUST CO.LIMITED,,,5.0,31 March 2
00316628,W.J.&M.Mash Limited,11.0,,55132210.0,31 March 2
