company_number,company_name,company_status,company_type,date_of_creation,address_line_1,address_line_2,locality,postal_code,country,sic_codes,name_norm,outward_postcode,match_key,accounts_type,last_accounts_made_up_to,next_accounts_due,has_recent_accounts,accounts_overdue,sic_codes_ch,is_group_like,parent_name,parent_postcode,parent_match_key,parent_in_esos,covered_by_group,age_years,primary_sic,sector,esos_score
00840500,TUNLEY PROPERTIES LIMITED,active,ltd,1965-03-10,40 Fleet Street,,Swindon,SN1 1RE,England,"['68100', '68209']",TUNLEYPROPERTIES,SN1,TUNLEYPROPERTIES|SN1,total-exemption-full,2021-03-31,2022-12-31,True,True,68100;68209,True,,,,False,False,60.818617385352496,68100,Buildings,5
02257018,NOVA DESIGN AND MANAGEMENT LIMITED,active,ltd,1988-05-12,"Watt House, Innovation Centre",Pensnett Trading Estate,Kingswinford,DY6 7YD,,"['64209', '71129']",NOVADESIGNANDMANAGEMENT,DY6,NOVADESIGNANDMANAGEMENT|DY6,total-exemption-full,2025-05-31,2027-02-28,True,False,64209;71129,True,,,,False,False,37.64544832306639,64209,Other,5
03872416,MEDIA INSURANCE BROKERS INTERNATIONAL LIMITED,active,ltd,1999-11-05,One,Creechurch Place,London,EC3A 5AF,United Kingdom,"['65110', '65201']",MEDIAINSURANCEBROKERS,EC3A,MEDIAINSURANCEBROKERS|EC3A,small,2024-09-30,2026-09-30,True,False,65110;65201,True,,,,False,False,26.16290212183436,65110,Other,5
04314407,THEORY WIZARD LIMITED,active,ltd,2001-10-31,11 Moray Avenue,,Birchington,CT7 9UN,England,"['85520', '90020']",THEORYWIZARD,CT7,THEORYWIZARD|CT7,micro-entity,2024-10-31,2026-07-31,True,False,85520;90020,True,,,,False,False,24.175222450376456,85520,Other,5
05439456,E.J.R. SYNDICATE LIMITED,active,ltd,2005-04-28,109 Stonehanger Cottages,Abbotts Ann Down,Andover,SP11 7BY,,"['01490', '01700']",EJRSYNDICATE,SP11,EJRSYNDICATE|SP11,total-exemption-full,2025-03-31,2026-12-31,True,False,01490;01700,True,,,,False,False,20.684462696783026,01490,Other,5
05449087,THE GLASS CENTRE (BASINGSTOKE) LIMITED,active,ltd,2005-05-11,Unit 3 Bear Court Amrstrong Road,Daneshill East,Basingstoke,RG24 8QT,,"['23120', '43342']",THEGLASSCENTREBASINGSTOKE,RG24,THEGLASSCENTREBASINGSTOKE|RG24,micro-entity,2025-03-31,2026-12-31,True,False,23120;43342,True,,,,False,False,20.648870636550306,23120,Industrial,5
05697156,INFINITY GLOBAL LIMITED,active,ltd,2006-02-03,Unit 82a James Carter Road,,Milden Hall,IP28 7DE,,"['68100', '68209']",INFINITYGLOBAL,IP28,INFINITYGLOBAL|IP28,micro-entity,2025-03-31,2026-12-31,True,False,68100;68209,True,,,,False,False,19.915126625598905,68100,Buildings,5
05800245,GLOSS SERVICES LIMITED,active,ltd,2006-04-28,11b Boundary Road,Buckingham Road Industrial,"Estate, Brackley",NN13 7ES,,"['43341', '69201']",GLOSS,NN13,GLOSS|NN13,micro-entity,2025-03-31,2026-12-31,True,False,43341;69201,True,,,,False,False,19.685147159479808,43341,Buildings,5
08065601,ADVANCED METALCRAFT LIMITED,active,ltd,2012-05-11,"Units 14/15 Francis Way Francis Way, Bowthorpe Employment Area",,Norwich,NR5 9JA,England,['25110'],ADVANCEDMETALCRAFT,NR5,ADVANCEDMETALCRAFT|NR5,total-exemption-full,2025-05-31,2027-02-28,True,False,25110,False,,,,False,False,13.648186173853524,25110,Industrial,5
08091094,THE TERRAPIN GROUP LTD,active,ltd,2012-05-31,Bankton Cottage Bankton Cottage,Turners Hill Road,Crawley Down,RH10 4EY,United Kingdom,['70210'],THETERRAPIN,RH10,THETERRAPIN|RH10,total-exemption-full,2024-05-31,2026-02-28,True,False,70210,True,,,,False,False,13.593429158110883,70210,Other,5
