company_number,company_name,company_status,company_type,date_of_creation,address_line_1,address_line_2,locality,postal_code,country,sic_codes,name_norm,outward_postcode,match_key,accounts_type,last_accounts_made_up_to,next_accounts_due,has_recent_accounts,accounts_overdue,sic_codes_ch,is_group_like,parent_name,parent_postcode,parent_match_key,parent_in_esos,covered_by_group,age_years,primary_sic,sector,esos_score,accounts_type_lower,is_uk
00840500,TUNLEY PROPERTIES LIMITED,active,ltd,1965-03-10,40 Fleet Street,,Swindon,SN1 1RE,England,"['68100', '68209']",TUNLEYPROPERTIES,SN1,TUNLEYPROPERTIES|SN1,total-exemption-full,2021-03-31,2022-12-31,True,True,68100;68209,True,,,,False,False,60.818617385352496,68100,Buildings,5,total-exemption-full,True
03872416,MEDIA INSURANCE BROKERS INTERNATIONAL LIMITED,active,ltd,1999-11-05,One,Creechurch Place,London,EC3A 5AF,United Kingdom,"['65110', '65201']",MEDIAINSURANCEBROKERS,EC3A,MEDIAINSURANCEBROKERS|EC3A,small,2024-09-30,2026-09-30,True,False,65110;65201,True,,,,False,False,26.16290212183436,65110,Other,5,small,True
08065601,ADVANCED METALCRAFT LIMITED,active,ltd,2012-05-11,"Units 14/15 Francis Way Francis Way, Bowthorpe Employment Area",,Norwich,NR5 9JA,England,['25110'],ADVANCEDMETALCRAFT,NR5,ADVANCEDMETALCRAFT|NR5,total-exemption-full,2025-05-31,2027-02-28,True,False,25110,False,,,,False,False,13.648186173853524,25110,Industrial,5,total-exemption-full,True
08091094,THE TERRAPIN GROUP LTD,active,ltd,2012-05-31,Bankton Cottage Bankton Cottage,Turners Hill Road,Crawley Down,RH10 4EY,United Kingdom,['70210'],THETERRAPIN,RH10,THETERRAPIN|RH10,total-exemption-full,2024-05-31,2026-02-28,True,False,70210,True,,,,False,False,13.593429158110883,70210,Other,5,total-exemption-full,True
08322014,KAMPMANN UK LTD,active,ltd,2012-12-06,6th Floor 9 Appold Street,,London,EC2A 2AP,United Kingdom,"['25210', '35300']",KAMPMANN,EC2A,KAMPMANN|EC2A,small,2024-12-31,2026-09-30,True,False,25210;35300,True,,,,False,False,13.075975359342916,25210,Industrial,5,small,True
08647366,PURLEY PLASTICS LIMITED,active,ltd,2013-08-12,41 Haviland Road,Ferndown Industrial Estate,Wimborne,BH21 7RY,England,['22290'],PURLEYPLASTICS,BH21,PURLEYPLASTICS|BH21,total-exemption-full,2024-08-31,2026-05-31,True,False,22290,False,,,,False,False,12.394250513347023,22290,Industrial,5,total-exemption-full,True
09423868,FLAME UK BUSINESS SERVICES GROUP LTD,active,ltd,2015-02-05,White House,Wollaton Street,Nottingham,NG1 5GF,United Kingdom,['70229'],FLAMEUKBUSINESS,NG1,FLAMEUKBUSINESS|NG1,unaudited-abridged,2024-12-31,2026-09-30,True,False,70229,True,,,,False,False,10.910335386721425,70229,Other,5,unaudited-abridged,True
10713148,25 COTSWOLD LIMITED,active,ltd,2017-04-06,14 Clifton Gardens,,London,N15 6AP,England,['68209'],25COTSWOLD,N15,25COTSWOLD|N15,total-exemption-full,2024-04-30,2026-01-28,True,False,68209,False,,,,False,False,8.744695414099931,68209,Buildings,5,total-exemption-full,True
SC323477,MCM FISHING LIMITED,active,ltd,2007-05-11,23 Corn Road,Inverallochy,Fraserburgh,AB43 8WR,Scotland,['82990'],MCMFISHING,AB43,MCMFISHING|AB43,total-exemption-full,2024-09-30,2026-06-24,True,False,82990,False,,,,False,False,18.650239561943874,82990,Buildings,5,total-exemption-full,True
04750190,DOUG GREEN: EDUCATIONAL CONSULTANT LIMITED,active,ltd,2003-05-01,17 Queens Lane,,Newcastle Upon Tyne,NE1 1RN,United Kingdom,['85590'],DOUGGREENEDUCATIONALCONSULTANT,NE1,DOUGGREENEDUCATIONALCONSULTANT|NE1,total-exemption-full,2025-03-31,2026-09-30,True,False,85590,False,,,,False,False,22.677618069815196,85590,Other,4,total-exemption-full,True
09290044,FIDUCIAM GLOBAL LIMITED,active,ltd,2014-10-31,"Gable House, 134 Blackpond Lane Farnham Common",Slough,United Kingdom,SL2 3EN,United Kingdom,['70229'],FIDUCIAMGLOBAL,SL2,FIDUCIAMGLOBAL|SL2,total-exemption-full,2024-12-31,2026-09-30,True,False,70229,False,,,,False,False,11.175906913073238,70229,Other,4,total-exemption-full,True
09588029,BRACE GROVE UK LIMITED,active,ltd,2015-05-13,Hamilton House Mabledon Place,Bloomsbury,London,WC1H 9BB,England,['96090'],BRACEGROVE,WC1H,BRACEGROVE|WC1H,total-exemption-full,2025-05-31,2027-02-28,True,False,96090,False,,,,False,False,10.64476386036961,96090,Other,4,total-exemption-full,True
10153671,N & W INVESTMENTS LIMITED,active,ltd,2016-04-28,2 Minster Court,Mincing Lane,London,EC3R 7PD,United Kingdom,['82990'],NANDWINVESTMENTS,EC3R,NANDWINVESTMENTS|EC3R,audit-exemption-subsidiary,2024-12-31,2026-09-30,True,False,82990,False,,,,False,False,9.683778234086242,82990,Buildings,4,audit-exemption-subsidiary,True
10348113,1 OF 1 WORLD LIMITED,active,ltd,2016-08-26,"Suite 123, 8 Duncan Street",,London,N1 8BW,England,"['59112', '63990', '82990', '96090']",1OF1WORLD,N1,1OF1WORLD|N1,total-exemption-full,2023-03-31,2024-12-30,True,True,59112;63990;82990;96090,True,,,,False,False,9.35523613963039,59112,Other,4,total-exemption-full,True
10701504,FABULOUS PROPERTY MANAGEMENT LTD,active,ltd,2017-03-31,171 Culverley Road,,London,SE6 2JZ,United Kingdom,"['74100', '98000']",FABULOUSPROPERTYMANAGEMENT,SE6,FABULOUSPROPERTYMANAGEMENT|SE6,total-exemption-full,2018-03-31,2019-12-31,True,True,74100;98000,True,,,,False,False,8.761122518822724,74100,Other,4,total-exemption-full,True
10938999,TREW HOLDINGS LTD,active,ltd,2017-08-30,4 Low Moor Road,,Lincoln,LN6 3JY,United Kingdom,['68100'],TREW,LN6,TREW|LN6,,,2019-05-30,False,True,68100,True,,,,False,False,8.344969199178644,68100,Buildings,4,,True
11055610,DIRECT TO SOURCE LTD,active,ltd,2017-11-09,Hollymount Barn,Glewstone,Ross-On-Wye,HR9 6AN,United Kingdom,['46180'],DIRECTTOSOURCE,HR9,DIRECTTOSOURCE|HR9,total-exemption-full,2024-11-30,2026-08-31,True,False,46180,False,,,,False,False,8.150581793292266,46180,Other,4,total-exemption-full,True
11804301,HHS ELECTRICAL LIMITED,active,ltd,2019-02-04,102 Newthorpe Common,Newthorpe,Nottingham,NG16 2EH,England,['43210'],HHSELECTRICAL,NG16,HHSELECTRICAL|NG16,total-exemption-full,2025-03-31,2026-12-31,True,False,43210,False,,,,False,False,6.913073237508556,43210,Buildings,4,total-exemption-full,True
12099832,ADDERSTONE (212) LIMITED,active,ltd,2019-07-12,"Nelson House The Fleming, Burdon Terrace",Jesmond,Newcastle Upon Tyne,NE2 3AE,England,"['68100', '68209']",ADDERSTONE212,NE2,ADDERSTONE212|NE2,total-exemption-full,2024-03-31,2025-12-31,True,True,68100;68209,True,,,,False,False,6.480492813141684,68100,Buildings,4,total-exemption-full,True
12387679,TOP SHEET CLADDING LIMITED,active,ltd,2020-01-06,Equitable House 55,Pellon Lane,Halifax,HX1 5SP,United Kingdom,"['43330', '43390']",TOPSHEETCLADDING,HX1,TOPSHEETCLADDING|HX1,total-exemption-full,2022-01-31,2024-01-31,True,True,43330;43390,True,,,,False,False,5.993155373032169,43330,Buildings,4,total-exemption-full,True
12810884,ADVANCED TREE SOLUTIONS LIMITED,active,ltd,2020-08-13,Suite 21 10 Churchill Square,Kings Hill,West Malling,ME19 4YU,United Kingdom,['81300'],ADVANCEDTREESOLUTIONS,ME19,ADVANCEDTREESOLUTIONS|ME19,total-exemption-full,2024-08-31,2026-05-31,True,False,81300,False,,,,False,False,5.390828199863107,81300,Buildings,4,total-exemption-full,True
NI620386,BRANNOCK TRADING LIMITED,active,ltd,2013-09-12,6 Brannock Meadows,Poyntzpass,Newry,BT35 6UD,Northern Ireland,"['43120', '46900', '77320']",BRANNOCKTRADING,BT35,BRANNOCKTRADING|BT35,unaudited-abridged,2019-09-30,2021-06-30,True,True,43120;46900;77320,True,,,,False,False,12.309377138945928,43120,Buildings,4,unaudited-abridged,True
SC140947,REIACH AND HALL LIMITED,active,ltd,1992-10-29,8 Darnaway Street,,Edinburgh,EH3 6BG,Scotland,['71111'],REIACHANDHALL,EH3,REIACHANDHALL|EH3,total-exemption-full,2025-07-31,2027-04-30,True,False,71111,False,,,,False,False,33.18001368925393,71111,Other,4,total-exemption-full,True
SC197917,NPL PH CLEARING COMPANY LTD,active,ltd,1999-07-08,183 St. Vincent Street,First Floor,Glasgow,G2 5QD,Scotland,['68100'],NPLPHCLEARINGCOMPANY,G2,NPLPHCLEARINGCOMPANY|G2,small,2024-03-31,2026-03-31,True,False,68100,False,,,,False,False,26.491444216290212,68100,Buildings,4,small,True
SC593054,PEPPERSTAWN LTD,active,ltd,2018-04-03,268 Birkhall Parade,,Aberdeen,AB16 5RA,Scotland,"['84120', '87200']",PEPPERSTAWN,AB16,PEPPERSTAWN|AB16,full,2021-04-30,2023-01-31,True,True,84120;87200,True,,,,False,False,7.753593429158111,84120,Other,4,full,True
