company_number,company_name,address_line_1,address_line_2,locality,postal_code,country,sector,accounts_type,esos_score
10348113,1 OF 1 WORLD LIMITED,"Suite 123, 8 Duncan Street",,London,N1 8BW,England,Other,total-exemption-full,4
08065601,ADVANCED METALCRAFT LIMITED,"Units 14/15 Francis Way Francis Way, Bowthorpe Employment Area",,Norwich,NR5 9JA,England,Industrial,total-exemption-full,5
SC323477,MCM FISHING LIMITED,23 Corn Road,Inverallochy,Fraserburgh,AB43 8WR,Scotland,Buildings,total-exemption-full,5
00840500,TUNLEY PROPERTIES LIMITED,40 Fleet Street,,Swindon,SN1 1RE,England,Buildings,total-exemption-full,5
SC640706,PURE 'N' SIMPLE (SCOTLAND) LIMITED,3 Heathland Park,Kinellar,Aberdeen,AB21 0SG,Scotland,Buildings,,3
10713148,25 COTSWOLD LIMITED,14 Clifton Gardens,,London,N15 6AP,England,Buildings,total-exemption-full,5
08091094,THE TERRAPIN GROUP LTD,Bankton Cottage Bankton Cottage,Turners Hill Road,Crawley Down,RH10 4EY,United Kingdom,Other,total-exemption-full,5
12414898,DREAMSCAPE AND MAINTENANCE LTD,40 Oakmere Lane,,Potters Bar,EN6 5LT,England,Buildings,total-exemption-full,2
04750190,DOUG GREEN: EDUCATIONAL CONSULTANT LIMITED,17 Queens Lane,,Newcastle Upon Tyne,NE1 1RN,United Kingdom,Other,total-exemption-full,4
10236844,C&E AMERY LIMITED,77 Hampton Crescent East,Cyncoed,Cardiff,CF23 6RG,Wales,Other,total-exemption-full,2
08647366,PURLEY PLASTICS LIMITED,41 Haviland Road,Ferndown Industrial Estate,Wimborne,BH21 7RY,England,Industrial,total-exemption-full,5
SC591276,MACO PROJECT SERVICES LTD,58 Long Lane,Broughty Ferry,Dundee,DD5 1HH,United Kingdom,Buildings,total-exemption-full,2
SC455938,"A,T & B LTD.",2b Kingston Estate,Ardgowan Street,Port Glasgow,PA14 5DG,Scotland,Other,total-exemption-full,2
10938999,TREW HOLDINGS LTD,4 Low Moor Road,,Lincoln,LN6 3JY,United Kingdom,Buildings,,4
SC593054,PEPPERSTAWN LTD,268 Birkhall Parade,,Aberdeen,AB16 5RA,Scotland,Other,full,4
12387679,TOP SHEET CLADDING LIMITED,Equitable House 55,Pellon Lane,Halifax,HX1 5SP,United Kingdom,Buildings,total-exemption-full,4
12326630,CONTINENTAL BUSINESS AND SERVICES LTD,30 Lonsdale Road,,Nottingham,NG7 3DU,England,Buildings,total-exemption-full,2
09423868,FLAME UK BUSINESS SERVICES GROUP LTD,White House,Wollaton Street,Nottingham,NG1 5GF,United Kingdom,Other,unaudited-abridged,5
SC197917,NPL PH CLEARING COMPANY LTD,183 St. Vincent Street,First Floor,Glasgow,G2 5QD,Scotland,Buildings,small,4
SC555814,PARKE STONE CONTRACTS LTD,Crask Cottage,Culbokie,Dingwall,IV7 8JS,Scotland,Buildings,unaudited-abridged,2
SC140947,REIACH AND HALL LIMITED,8 Darnaway Street,,Edinburgh,EH3 6BG,Scotland,Other,total-exemption-full,4
SC449423,PIVOTAL SCOTLAND LTD,C/O Prmier Accounting 15 Townhead,Kirkintilloch,Glasgow,G66 1NG,Scotland,Other,total-exemption-full,2
12825526,SANCTUARY REVIEWS & STORAGE LTD,41a Lawton Road,,Alsager,ST7 2AA,United Kingdom,Other,total-exemption-full,3
SC637756,LOCHMILL LTD,18 Greentree Drive,Baillieston,Glasgow,G69 7UW,United Kingdom,Other,,2
12332552,SWISS COTTAGE DRY CLEANING LTD,11 Fairhazel Gardens,,London,NW6 3QE,England,Other,unaudited-abridged,2
09068458,WHISKYINVESTDIRECT LTD,"7th Floor, 3 Shortlands Shortlands",,London,W6 8DA,England,Other,small,3
10701504,FABULOUS PROPERTY MANAGEMENT LTD,171 Culverley Road,,London,SE6 2JZ,United Kingdom,Other,total-exemption-full,4
00700529,WINEMAKERS CHOICE LIMITED,Sabmiller House,Church Street West,Woking,GU21 6HS,United Kingdom,Other,total-exemption-full,2
SC482956,M&M PARCEL LIMITED,105 Skylark Wynd,,Motherwell,ML1 1AP,Scotland,Buildings,total-exemption-full,3
11344781,SF TRADING ONLINE LTD,Unit 7 Sherwood Network Centre,Sherwood Energy Village,Ollerton,NG22 9FD,England,Other,unaudited-abridged,2
SC357455,SPECIALIZED TRAINING LTD,3 Queen Street,,Edinburgh,EH2 1JE,Scotland,Buildings,total-exemption-full,3
12469687,CLEAN & CHEAP SOLUTIONS LIMITED,89 Sixth Avenue,,London,W10 4HH,England,Transport,,3
11055610,DIRECT TO SOURCE LTD,Hollymount Barn,Glewstone,Ross-On-Wye,HR9 6AN,United Kingdom,Other,total-exemption-full,4
07825473,THOR BUILDING SERVICES LIMITED,6-8 Freeman Street,,Grimsby,DN32 7AA,England,Buildings,total-exemption-full,3
SC658348,DCI WHOLESALE LIMITED,5 Tarbet Street,,Gourock,PA19 1UF,Scotland,Other,total-exemption-full,3
SC643113,J PHILLIPS SERVICES LTD,31 Whinhill Court,,Greenock,PA15 4JD,Scotland,Industrial,,3
SC535288,G S BARBERS LTD,13 Hope Street,,Lanark,ML11 7NL,Scotland,Other,total-exemption-full,2
SC637064,SUPREME INNOVATIVE SOLUTIONS LIMITED,24 Alness Crescent Glasgow,Alness Crescent,Glasgow,G52 1PJ,Scotland,Buildings,,3
NI620386,BRANNOCK TRADING LIMITED,6 Brannock Meadows,Poyntzpass,Newry,BT35 6UD,Northern Ireland,Buildings,unaudited-abridged,4
08322014,KAMPMANN UK LTD,6th Floor 9 Appold Street,,London,EC2A 2AP,United Kingdom,Industrial,small,5
12810884,ADVANCED TREE SOLUTIONS LIMITED,Suite 21 10 Churchill Square,Kings Hill,West Malling,ME19 4YU,United Kingdom,Buildings,total-exemption-full,4
08547427,BADDESLEY ACCIDENT & HIRE SERVICES LTD,12 Elsperth Road,,Wembley,HA0 2BW,England,Other,total-exemption-full,2
11466848,GTECH SELECTION LTD,71 High Storrs Drive,,Sheffield,S11 7LN,England,Other,unaudited-abridged,2
12458831,BUILD MASTER NW LTD,Unit 11 Bingswood Trading Estate,Whaley Bridge,High Peak,SK23 7LY,England,Buildings,total-exemption-full,2
SC530748,CITY HARBOUR LIMITED,Unit 3/4  City Quay,Camperdown Street,Dundee,DD1 3JA,Scotland,Other,total-exemption-full,2
07062982,AAROGYA LIMITED,"6th Floor, 2 London Wall Place",,London,EC2Y 5AU,England,Other,audit-exemption-subsidiary,3
10153671,N & W INVESTMENTS LIMITED,2 Minster Court,Mincing Lane,London,EC3R 7PD,United Kingdom,Buildings,audit-exemption-subsidiary,4
09588029,BRACE GROVE UK LIMITED,Hamilton House Mabledon Place,Bloomsbury,London,WC1H 9BB,England,Other,total-exemption-full,4
12099832,ADDERSTONE (212) LIMITED,"Nelson House The Fleming, Burdon Terrace",Jesmond,Newcastle Upon Tyne,NE2 3AE,England,Buildings,total-exemption-full,4
11759722,JURBAN LTD,46 Morris Road,Ribbleton,Preston,PR2 6BQ,United Kingdom,Other,total-exemption-full,3
